Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-03-30;388,72;392,66;380,55;381,90;678.445;261.850.936
2022-03-29;384,39;396,47;380,50;391,82;1.804.527;530.887.643
2022-03-28;375,23;380,28;366,82;378,51;1.161.194;354.930.488
2022-03-25;377,07;377,50;366,48;373,85;1.000.854;293.900.264
2022-03-24;379,20;379,47;368,90;375,71;1.242.137;398.436.469
2022-03-23;379,42;382,46;374,49;374,49;1.306.417;464.626.264
2022-03-22;371,14;386,63;366,99;382,92;1.093.939;359.004.556
2022-03-21;377,55;381,80;368,94;374,59;1.325.340;415.890.150
2022-03-18;372,61;381,75;368,55;380,60;3.811.377;2.011.988.201
2022-03-17;359,11;373,30;355,00;371,40;1.497.337;446.129.278
2022-03-16;348,20;359,99;343,21;357,53;1.807.276;559.652.840
2022-03-15;335,00;345,34;332,37;343,75;1.753.734;625.687.553
2022-03-14;338,02;341,29;329,91;331,01;1.635.332;439.994.119
2022-03-11;361,19;362,94;340,00;340,32;1.480.214;454.725.353
2022-03-10;355,51;367,00;353,30;356,77;1.522.806;496.423.838
2022-03-09;356,97;364,14;350,52;358,79;1.830.524;552.598.432
2022-03-08;349,67;358,82;340,67;341,76;1.896.228;223.690.032
2022-03-07;359,78;361,92;350,20;350,26;1.808.599;573.190.833
2022-03-04;368,00;374,41;357,24;361,73;1.524.868;401.975.504
2022-03-03;386,00;386,12;364,66;368,07;1.643.938;481.280.767
2022-03-02;388,93;389,22;375,21;380,03;1.649.332;534.797.738
2022-03-01;391,60;395,00;383,88;386,24;1.098.645;349.892.612
2022-02-28;387,33;397,75;382,23;394,52;1.752.932;757.177.375
2022-02-25;386,61;391,22;375,65;390,80;1.314.900;351.688.159
2022-02-24;355,00;390,67;354,73;390,03;2.244.566;617.324.877
2022-02-23;382,72;385,97;366,66;367,46;1.516.546;575.903.836
2022-02-22;388,40;392,42;373,02;377,38;1.884.929;561.263.223
2022-02-18;393,01;402,79;389,11;391,29;2.007.160;648.008.062
2022-02-17;393,48;399,04;385,74;386,67;1.410.839;478.127.722
2022-02-16;400,94;401,07;390,40;398,08;1.434.343;473.080.773
2022-02-15;403,79;409,11;401,20;407,46;1.473.581;543.359.577
2022-02-14;388,00;409,34;388,00;396,57;1.661.380;576.001.136
2022-02-11;405,33;411,42;387,74;391,31;1.953.798;615.677.116
2022-02-10;402,10;407,96;396,44;406,27;2.067.079;638.144.836
2022-02-09;408,65;412,98;398,87;412,89;1.926.632;655.868.498
