Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-03-15;57,06;57,06;54,70;56,44;2.835;159.008
2022-03-14;56,60;58,64;56,54;57,72;2.733;157.715
2022-03-11;55,06;57,64;55,06;55,70;1.747;98.650
2022-03-10;56,26;56,50;54,56;54,82;7.484;412.143
2022-03-09;53,30;56,98;52,96;56,18;5.019;274.182
2022-03-08;49,90;54,88;49,90;53,20;1.110;57.825
2022-03-07;50,80;52,64;47,06;50,28;6.631;326.178
2022-03-04;54,14;54,14;50,94;51,50;4.463;232.074
2022-03-03;56,38;56,46;55,00;55,12;1.014;56.271
2022-03-02;55,30;56,60;54,68;56,38;3.001;166.817
2022-03-01;57,80;58,42;55,26;55,50;3.282;186.115
2022-02-28;56,98;58,38;55,60;57,50;5.602;318.197
2022-02-25;58,42;59,28;56,92;59,00;4.320;251.705
2022-02-24;59,80;59,80;56,56;58,24;4.317;248.853
2022-02-23;62,50;63,60;60,64;60,64;3.296;205.585
2022-02-22;62,62;63,88;61,44;62,46;4.158;260.719
2022-02-21;65,56;66,56;62,84;62,84;2.946;191.352
2022-02-18;65,78;66,84;65,14;65,32;2.738;180.586
2022-02-17;67,20;67,68;65,66;65,66;2.390;158.961
2022-02-16;66,24;68,08;66,24;67,94;2.884;194.651
2022-02-15;63,86;66,54;63,64;66,30;3.293;215.133
2022-02-14;64,24;64,64;63,00;63,86;2.629;168.204
2022-02-11;66,48;66,86;64,84;64,92;3.105;204.961
2022-02-10;66,70;67,28;66,60;66,62;1.374;91.880
2022-02-09;66,24;67,28;66,06;66,58;1.774;118.228
2022-02-08;65,06;66,04;64,80;65,80;1.591;104.383
2022-02-07;65,08;65,38;64,60;65,06;804;52.143
2022-02-04;64,98;65,20;63,78;65,00;2.032;130.614
2022-02-03;63,76;65,08;63,60;64,38;2.087;134.737
2022-02-02;63,22;64,50;63,10;63,84;3.542;226.338
2022-02-01;62,76;64,40;62,46;63,10;7.034;443.699
2022-01-31;62,14;63,18;60,92;62,74;3.984;246.694
2022-01-28;62,00;62,00;60,28;61,34;990;60.215
2022-01-27;60,88;62,20;60,82;61,32;3.605;221.426
2022-01-26;61,50;62,14;61,10;61,54;1.318;81.409
2022-01-25;60,52;61,24;60,00;61,04;1.024;62.092
2022-01-24;62,70;62,98;59,54;60,50;3.147;190.855
