Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-03-30;92,06;94,19;92,12;92,42;319.006;29.571.059
2022-03-29;95,02;98,43;93,14;93,92;721.755;51.499.819
2022-03-28;95,38;96,86;92,19;93,82;646.317;46.623.760
2022-03-25;90,59;93,75;90,32;93,66;684.346;53.499.381
2022-03-24;93,05;93,72;90,16;92,16;1.428.528;90.479.606
2022-03-23;94,53;98,25;93,28;95,47;971.528;64.448.433
2022-03-22;94,70;96,85;91,40;94,71;1.358.614;88.689.520
2022-03-21;86,33;91,01;86,28;88,91;996.068;63.685.523
2022-03-18;85,51;91,93;84,71;90,18;4.120.001;502.617.050
2022-03-17;88,89;90,00;82,11;85,10;1.782.545;116.837.087
2022-03-16;87,65;94,14;83,17;93,31;3.531.353;282.254.199
2022-03-15;69,52;75,79;69,50;74,24;1.694.723;107.524.236
2022-03-14;71,28;75,75;68,62;71,53;2.048.227;120.139.116
2022-03-11;82,92;84,27;78,76;79,09;1.403.117;86.176.321
2022-03-10;82,93;83,29;76,97;81,73;1.888.827;115.611.860
2022-03-09;86,83;91,70;86,29;88,58;1.297.307;99.996.436
2022-03-08;82,00;87,19;81,48;84,71;1.142.297;48.202.724
2022-03-07;85,54;86,73;81,57;81,81;1.145.722;80.645.737
2022-03-04;85,14;86,74;84,37;85,50;1.076.979;84.251.123
2022-03-03;92,26;92,70;85,90;86,54;1.943.647;128.019.638
2022-03-02;93,10;93,13;89,56;92,38;1.394.397;93.919.933
2022-03-01;95,34;99,11;92,52;93,49;1.620.935;113.373.538
2022-02-28;96,86;97,76;93,41;95,34;1.349.537;129.861.870
2022-02-25;94,20;99,95;93,78;99,72;1.508.118;95.872.103
2022-02-24;87,81;92,90;87,50;92,80;1.233.512;90.243.185
2022-02-23;93,93;95,685;91,21;91,56;1.365.262;117.763.427
2022-02-22;95,38;96,18;89,50;91,37;1.546.435;124.095.194
2022-02-18;99,53;99,53;97,00;98,52;876.773;72.007.342
2022-02-17;100,69;102,71;99,63;99,84;862.263;95.878.287
