Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2023-02-02;149,00;150,50;148,20;149,71;6.602.635;986.120.044
2023-02-01;143,85;146,61;141,33;145,43;19.801.721;1.209.680.892
2023-01-31;142,63;144,34;142,28;144,29;24.232.019;1.164.648.568
2023-01-30;144,90;145,53;142,855;143,00;16.152.274;2.996.403.361
2023-01-27;143,10;147,23;143,10;145,93;16.868.462;3.184.473.347
2023-01-26;143,14;144,25;141,90;143,96;13.940.769;2.547.130.503
2023-01-25;140,84;142,43;138,815;141,86;14.688.201;2.396.831.162
2023-01-24;140,47;143,15;140,30;142,53;12.686.745;2.145.457.336
2023-01-23;138,13;143,31;137,90;141,11;19.125.718;3.092.830.511
2023-01-20;135,12;137,99;134,23;137,87;27.632.469;5.547.518.227
2023-01-19;134,00;136,24;133,77;135,27;15.384.456;2.592.738.382
2023-01-18;136,84;138,61;135,03;135,21;17.922.699;3.074.706.633
2023-01-17;134,76;137,285;134,17;135,94;16.049.196;2.701.558.232
2023-01-13;132,00;134,92;131,66;134,76;14.317.714;2.355.452.783
2023-01-12;133,98;134,25;131,65;133,41;17.874.677;2.725.550.517
2023-01-11;131,25;133,49;130,47;133,49;18.518.460;2.990.178.139
2023-01-10;130,25;131,26;128,13;130,73;14.247.827;2.174.698.086
2023-01-09;130,53;133,41;130,07;130,10;10.960.511;714.045.408
2023-01-06;126,00;130,29;124,90;129,62;22.657.872;795.753.342
2023-01-05;127,07;127,76;124,76;125,02;18.692.534;2.939.879.197
2023-01-04;127,00;128,65;125,08;126,36;20.831.964;2.936.050.320
2023-01-03;130,21;130,90;124,18;125,07;27.957.492;4.590.348.594
2022-12-30;128,32;129,95;127,45;129,93;19.705.329;1.273.260.652
2022-12-29;128,00;130,48;127,82;129,61;16.448.075;2.684.168.451
2022-12-28;129,67;131,02;125,87;126,04;17.240.547;2.588.201.235
2022-12-27;131,24;131,36;128,73;130,03;14.694.608;2.369.097.430
2022-12-23;131,00;132,41;129,64;131,86;12.208.945;1.840.009.388
2022-12-22;134,29;134,54;130,305;132,23;19.518.775;3.488.968.175
2022-12-21;132,98;136,80;132,75;135,45;19.490.618;3.689.455.331
2022-12-20;131,46;133,245;129,89;132,30;17.924.939;2.922.388.311
2022-12-19;135,09;135,10;131,33;132,37;19.351.246;3.317.555.065
2022-12-16;136,79;137,64;133,73;134,51;74.198.808;17.503.804.710
2022-12-15;141,15;141,77;136,03;136,50;24.676.974;1.456.336.269
2022-12-14;145,32;146,655;141,19;143,21;20.164.317;1.144.931.629
2022-12-13;149,45;149,96;144,24;145,47;22.459.130;1.537.617.451
2022-12-12;142,98;144,50;141,07;144,49;15.625.125;3.153.494.174
2022-12-09;142,31;145,55;140,91;142,16;18.454.994;3.555.930.981
2022-12-08;142,42;143,52;141,10;142,65;14.512.885;2.791.684.036
2022-12-07;142,28;143,37;140,01;140,94;17.515.959;3.195.298.261
2022-12-06;147,03;147,29;141,92;142,91;16.181.521;3.140.160.482
2022-12-05;147,71;150,91;145,78;146,63;16.298.290;2.973.926.469
2022-12-02;146,00;148,00;145,66;147,81;18.483.584;3.723.573.384
2022-12-01;148,34;149,13;146,62;148,31;15.782.675;3.159.139.159
2022-11-30;141,25;148,03;140,59;148,03;34.090.559;1.462.679.161
2022-11-29;144,22;144,80;140,36;141,17;17.363.307;2.965.577.610
2022-11-28;145,00;146,63;143,39;144,22;17.643.836;3.569.316.619
2022-11-25;148,30;148,86;147,14;148,11;7.848.883;1.528.495.820
2022-11-23;149,50;151,81;149,35;151,07;10.544.766;2.057.781.954
2022-11-22;148,16;150,38;146,93;150,18;12.945.456;2.761.491.344
2022-11-21;150,12;150,24;147,715;148,01;12.603.985;2.487.653.707
2022-11-18;152,49;152,49;149,98;151,29;17.235.640;3.742.497.986
2022-11-17;146,51;151,48;146,40;150,72;16.172.446;3.061.260.164
2022-11-16;149,05;149,85;147,30;148,79;14.743.625;2.992.213.817
2022-11-15;152,00;153,59;148,57;150,04;19.698.582;3.313.988.650
2022-11-14;149,12;150,27;147,43;148,28;17.030.375;3.274.815.250
2022-11-11;145,86;150,01;144,39;149,70;22.844.317;4.071.967.196
2022-11-10;141,34;146,87;140,40;146,87;36.016.735;6.805.681.811
2022-11-09;138,33;138,54;134,60;134,87;19.637.208;3.619.483.287
2022-11-08;140,28;141,43;137,49;139,50;17.999.269;3.215.593.389
2022-11-07;137,20;139,14;135,68;138,92;18.318.803;2.879.074.870
2022-11-04;142,09;142,66;134,39;138,38;31.237.902;4.398.904.861
2022-11-03;142,00;142,79;138,77;138,88;22.256.843;3.486.051.742
2022-11-02;149,00;152,17;145,00;145,03;25.137.465;3.881.115.557
2022-11-01;155,00;155,43;149,14;150,65;16.555.429;2.768.652.150
2022-10-31;153,19;154,24;151,93;153,34;24.301.346;5.067.969.394
2022-10-28;148,07;157,50;147,83;155,74;34.509.584;5.218.087.150
