Ticker Symbol: HFWA
Name: Heritage Financial Corporation Common Stock
Market Cap: 1010370740.00
Country: United States
IPO Year: 
Volume: 22305
Sector: Finance
Industry: Banks

First year of data: 1998.0
Chance;Buy_Day;Buy_Month;Sell_Day;Sell_Month
0.8260869565217391;13.0;12.0;23.0;12.0
0.8260869565217391;20.0;5.0;3.0;6.0
0.8695652173913043;2.0;2.0;17.0;2.0
0.8260869565217391;4.0;2.0;19.0;2.0
0.8260869565217391;1.0;2.0;17.0;2.0
0.8260869565217391;21.0;5.0;8.0;6.0
0.8260869565217391;1.0;2.0;18.0;2.0
0.8260869565217391;1.0;2.0;18.0;2.0
0.8260869565217391;20.0;5.0;18.0;6.0
0.8260869565217391;20.0;9.0;19.0;10.0
0.8260869565217391;20.0;10.0;18.0;11.0
0.8260869565217391;11.0;10.0;11.0;11.0
0.8260869565217391;20.0;9.0;25.0;10.0
0.8260869565217391;20.0;9.0;26.0;10.0
0.8260869565217391;20.0;5.0;29.0;6.0
0.8260869565217391;9.0;9.0;20.0;10.0
0.8260869565217391;29.0;10.0;17.0;12.0
0.8260869565217391;23.0;9.0;11.0;11.0
0.8260869565217391;1.0;11.0;21.0;12.0
0.8260869565217391;1.0;11.0;21.0;12.0
0.8260869565217391;1.0;11.0;22.0;12.0
0.8695652173913043;1.0;11.0;22.0;12.0
0.8695652173913043;1.0;11.0;22.0;12.0
0.8260869565217391;3.0;11.0;27.0;12.0
0.8260869565217391;29.0;10.0;22.0;12.0
0.8260869565217391;1.0;11.0;23.0;12.0
0.8260869565217391;1.0;11.0;23.0;12.0
0.8260869565217391;29.0;10.0;23.0;12.0
0.8260869565217391;1.0;11.0;27.0;12.0
0.8260869565217391;29.0;10.0;27.0;12.0
0.8260869565217391;1.0;11.0;28.0;12.0
0.8695652173913043;28.0;10.0;27.0;12.0
0.8260869565217391;29.0;10.0;28.0;12.0
0.8260869565217391;1.0;11.0;29.0;12.0
0.8260869565217391;1.0;11.0;29.0;12.0
0.8260869565217391;1.0;6.0;29.0;7.0
0.8260869565217391;28.0;10.0;28.0;12.0
0.8260869565217391;29.0;10.0;29.0;12.0
0.8260869565217391;1.0;11.0;30.0;12.0
0.8260869565217391;28.0;10.0;29.0;12.0
0.8260869565217391;10.0;9.0;18.0;11.0
0.8260869565217391;20.0;9.0;29.0;11.0
0.8260869565217391;10.0;9.0;23.0;11.0
0.8260869565217391;20.0;9.0;2.0;12.0
0.8260869565217391;7.0;9.0;19.0;11.0
0.8260869565217391;16.0;8.0;1.0;11.0
0.8260869565217391;3.0;9.0;19.0;11.0
0.8695652173913043;20.0;9.0;6.0;12.0
0.8260869565217391;1.0;9.0;23.0;11.0
0.8260869565217391;16.0;8.0;8.0;11.0
0.8260869565217391;31.0;8.0;23.0;11.0
0.8260869565217391;1.0;9.0;24.0;11.0
0.8260869565217391;16.0;8.0;9.0;11.0
0.8260869565217391;10.0;9.0;6.0;12.0
0.8260869565217391;23.0;8.0;17.0;11.0
0.8260869565217391;24.0;8.0;18.0;11.0
0.8260869565217391;25.0;8.0;19.0;11.0
0.8260869565217391;11.0;10.0;6.0;1.0
0.8260869565217391;23.0;8.0;18.0;11.0
0.8260869565217391;16.0;9.0;16.0;12.0
0.8260869565217391;16.0;8.0;16.0;11.0
0.8260869565217391;17.0;8.0;17.0;11.0
0.8260869565217391;14.0;9.0;15.0;12.0
0.8260869565217391;15.0;9.0;16.0;12.0
0.8260869565217391;16.0;9.0;17.0;12.0
0.8260869565217391;16.0;8.0;17.0;11.0
0.8260869565217391;14.0;9.0;16.0;12.0
0.8260869565217391;16.0;8.0;18.0;11.0
0.8260869565217391;14.0;9.0;17.0;12.0
0.8260869565217391;16.0;9.0;21.0;12.0
0.8260869565217391;22.0;9.0;28.0;12.0
