Ticker Symbol: FWONA
Name: Liberty Media Corporation Series A Liberty Formula One Common Stock
Market Cap: 14941230656.00
Country: United States
IPO Year: 
Volume: 52077
Sector: Consumer Discretionary
Industry: Movies/Entertainment

First year of data: 2013.0
Chance;Buy_Day;Buy_Month;Sell_Day;Sell_Month
1.0;31.0;7.0;17.0;9.0
0.875;22.0;12.0;10.0;2.0
0.875;17.0;4.0;6.0;6.0
0.875;21.0;4.0;9.0;6.0
0.875;21.0;4.0;9.0;6.0
0.875;21.0;4.0;9.0;6.0
0.875;22.0;4.0;10.0;6.0
0.875;16.0;6.0;4.0;8.0
1.0;16.0;6.0;4.0;8.0
1.0;17.0;6.0;5.0;8.0
0.875;20.0;6.0;8.0;8.0
0.875;9.0;7.0;26.0;8.0
0.875;10.0;7.0;27.0;8.0
0.875;11.0;7.0;28.0;8.0
0.875;14.0;7.0;29.0;8.0
0.875;14.0;7.0;29.0;8.0
0.875;14.0;7.0;29.0;8.0
0.875;15.0;7.0;2.0;9.0
0.875;16.0;7.0;3.0;9.0
0.875;17.0;7.0;4.0;9.0
0.875;24.0;7.0;11.0;9.0
1.0;25.0;7.0;12.0;9.0
0.875;28.0;7.0;15.0;9.0
1.0;28.0;7.0;15.0;9.0
1.0;28.0;7.0;15.0;9.0
1.0;29.0;7.0;16.0;9.0
1.0;30.0;7.0;17.0;9.0
0.875;30.0;9.0;17.0;11.0
0.875;1.0;10.0;18.0;11.0
0.875;2.0;10.0;19.0;11.0
1.0;16.0;4.0;6.0;6.0
0.875;17.0;4.0;9.0;6.0
0.875;13.0;6.0;4.0;8.0
0.875;16.0;6.0;5.0;8.0
1.0;16.0;6.0;5.0;8.0
1.0;16.0;6.0;5.0;8.0
1.0;17.0;6.0;6.0;8.0
0.875;19.0;6.0;8.0;8.0
0.875;8.0;7.0;26.0;8.0
0.875;9.0;7.0;27.0;8.0
0.875;10.0;7.0;28.0;8.0
0.875;11.0;7.0;29.0;8.0
0.875;14.0;7.0;2.0;9.0
0.875;14.0;7.0;2.0;9.0
0.875;15.0;7.0;3.0;9.0
0.875;16.0;7.0;4.0;9.0
0.875;22.0;7.0;10.0;9.0
1.0;25.0;7.0;15.0;9.0
0.875;28.0;7.0;16.0;9.0
1.0;28.0;7.0;16.0;9.0
1.0;28.0;7.0;16.0;9.0
1.0;29.0;7.0;17.0;9.0
0.875;29.0;9.0;17.0;11.0
0.875;30.0;9.0;18.0;11.0
0.875;1.0;10.0;19.0;11.0
0.875;2.0;10.0;20.0;11.0
0.875;22.0;12.0;12.0;2.0
0.875;16.0;4.0;9.0;6.0
1.0;17.0;4.0;10.0;6.0
0.875;21.0;4.0;11.0;6.0
0.875;21.0;4.0;11.0;6.0
0.875;21.0;4.0;11.0;6.0
0.875;16.0;6.0;6.0;8.0
1.0;16.0;6.0;6.0;8.0
1.0;16.0;6.0;6.0;8.0
0.875;17.0;6.0;7.0;8.0
0.875;20.0;6.0;12.0;8.0
0.875;23.0;6.0;13.0;8.0
0.875;23.0;6.0;13.0;8.0
0.875;30.0;6.0;20.0;8.0
0.875;7.0;7.0;26.0;8.0
0.875;8.0;7.0;27.0;8.0
0.875;9.0;7.0;28.0;8.0
0.875;10.0;7.0;29.0;8.0
0.875;11.0;7.0;2.0;9.0
0.875;14.0;7.0;3.0;9.0
0.875;14.0;7.0;3.0;9.0
0.875;14.0;7.0;3.0;9.0
0.875;15.0;7.0;4.0;9.0
0.875;16.0;7.0;5.0;9.0
0.875;17.0;7.0;8.0;9.0
1.0;25.0;7.0;16.0;9.0
1.0;28.0;7.0;17.0;9.0
1.0;28.0;7.0;17.0;9.0
1.0;28.0;7.0;17.0;9.0
0.875;29.0;7.0;18.0;9.0
0.875;29.0;9.0;18.0;11.0
0.875;29.0;9.0;18.0;11.0
0.875;30.0;9.0;19.0;11.0
0.875;1.0;10.0;20.0;11.0
0.875;2.0;10.0;21.0;11.0
0.875;23.0;12.0;17.0;2.0
0.875;16.0;4.0;10.0;6.0
0.875;17.0;4.0;11.0;6.0
0.875;21.0;4.0;12.0;6.0
0.875;12.0;6.0;5.0;8.0
0.875;13.0;6.0;6.0;8.0
0.875;16.0;6.0;7.0;8.0
0.875;16.0;6.0;7.0;8.0
