Ticker Symbol: BPT
Name: BP Prudhoe Bay Royalty Trust Common Stock
Market Cap: 243790940.00
Country: United States
IPO Year: 
Volume: 104629
Sector: Energy
Industry: Integrated oil Companies

First year of data: 1989.0
Chance;Buy_Day;Buy_Month;Sell_Day;Sell_Month
0.84375;24.0;12.0;16.0;1.0
0.8125;24.0;12.0;16.0;1.0
0.84375;12.0;3.0;3.0;4.0
0.8125;11.0;12.0;4.0;1.0
0.875;12.0;12.0;7.0;1.0
0.875;13.0;12.0;8.0;1.0
0.875;14.0;12.0;9.0;1.0
0.84375;17.0;12.0;10.0;1.0
0.8125;17.0;12.0;10.0;1.0
0.8125;18.0;12.0;11.0;1.0
0.90625;19.0;12.0;14.0;1.0
0.90625;20.0;12.0;15.0;1.0
0.9375;21.0;12.0;16.0;1.0
0.8125;24.0;12.0;17.0;1.0
0.8125;26.0;12.0;18.0;1.0
0.8125;26.0;12.0;18.0;1.0
0.8125;12.0;3.0;4.0;4.0
0.8125;12.0;3.0;4.0;4.0
0.8125;10.0;12.0;4.0;1.0
0.8125;11.0;12.0;7.0;1.0
0.875;12.0;12.0;8.0;1.0
0.84375;13.0;12.0;9.0;1.0
0.8125;14.0;12.0;10.0;1.0
0.8125;17.0;12.0;11.0;1.0
0.8125;17.0;12.0;11.0;1.0
0.875;18.0;12.0;14.0;1.0
0.875;19.0;12.0;15.0;1.0
0.875;20.0;12.0;16.0;1.0
0.84375;21.0;12.0;17.0;1.0
0.8125;24.0;12.0;18.0;1.0
0.8125;24.0;12.0;18.0;1.0
0.8125;24.0;12.0;18.0;1.0
0.8125;26.0;12.0;21.0;1.0
0.8125;26.0;12.0;21.0;1.0
0.8125;2.0;3.0;28.0;3.0
0.875;11.0;12.0;8.0;1.0
0.8125;12.0;12.0;9.0;1.0
0.8125;17.0;12.0;14.0;1.0
0.875;17.0;12.0;14.0;1.0
0.84375;18.0;12.0;15.0;1.0
0.875;19.0;12.0;16.0;1.0
0.84375;20.0;12.0;17.0;1.0
0.84375;21.0;12.0;18.0;1.0
0.8125;24.0;12.0;21.0;1.0
0.8125;24.0;12.0;21.0;1.0
0.84375;26.0;12.0;22.0;1.0
0.84375;26.0;12.0;22.0;1.0
0.8125;27.0;12.0;23.0;1.0
0.8125;2.0;3.0;29.0;3.0
0.8125;12.0;3.0;6.0;4.0
0.8125;10.0;12.0;8.0;1.0
0.84375;11.0;12.0;9.0;1.0
0.8125;13.0;12.0;11.0;1.0
0.8125;14.0;12.0;14.0;1.0
0.84375;17.0;12.0;15.0;1.0
0.84375;17.0;12.0;15.0;1.0
0.8125;18.0;12.0;16.0;1.0
0.875;19.0;12.0;17.0;1.0
0.84375;20.0;12.0;18.0;1.0
0.84375;21.0;12.0;21.0;1.0
0.84375;24.0;12.0;22.0;1.0
0.84375;24.0;12.0;22.0;1.0
0.8125;24.0;12.0;22.0;1.0
0.84375;26.0;12.0;23.0;1.0
0.84375;26.0;12.0;23.0;1.0
0.8125;27.0;12.0;24.0;1.0
0.8125;28.0;12.0;25.0;1.0
0.8125;31.0;12.0;28.0;1.0
0.8125;13.0;12.0;14.0;1.0
0.84375;14.0;12.0;15.0;1.0
0.8125;17.0;12.0;16.0;1.0
0.84375;18.0;12.0;17.0;1.0
0.875;19.0;12.0;18.0;1.0
0.8125;20.0;12.0;21.0;1.0
0.84375;21.0;12.0;22.0;1.0
0.84375;24.0;12.0;23.0;1.0
0.875;24.0;12.0;23.0;1.0
0.84375;24.0;12.0;23.0;1.0
0.8125;26.0;12.0;24.0;1.0
0.8125;26.0;12.0;24.0;1.0
0.8125;28.0;12.0;28.0;1.0
0.8125;31.0;12.0;29.0;1.0
0.8125;4.0;9.0;3.0;10.0
0.8125;5.0;12.0;7.0;1.0
0.8125;6.0;12.0;8.0;1.0
0.8125;11.0;12.0;11.0;1.0
0.8125;12.0;12.0;14.0;1.0
0.84375;13.0;12.0;15.0;1.0
0.84375;14.0;12.0;16.0;1.0
0.8125;17.0;12.0;17.0;1.0
0.84375;18.0;12.0;18.0;1.0
0.90625;19.0;12.0;21.0;1.0
0.875;20.0;12.0;22.0;1.0
0.875;21.0;12.0;23.0;1.0
0.84375;24.0;12.0;24.0;1.0
0.84375;24.0;12.0;24.0;1.0
0.84375;24.0;12.0;24.0;1.0
0.84375;26.0;12.0;25.0;1.0
0.84375;26.0;12.0;25.0;1.0
0.8125;28.0;12.0;29.0;1.0
0.84375;31.0;12.0;30.0;1.0
0.8125;31.0;8.0;3.0;10.0
0.8125;3.0;12.0;4.0;1.0
0.8125;4.0;12.0;7.0;1.0
0.84375;17.0;12.0;18.0;1.0
0.8125;17.0;12.0;18.0;1.0
0.8125;17.0;12.0;18.0;1.0
0.84375;18.0;12.0;21.0;1.0
0.875;19.0;12.0;22.0;1.0
0.84375;20.0;12.0;23.0;1.0
0.84375;21.0;12.0;24.0;1.0
0.8125;24.0;12.0;25.0;1.0
0.8125;26.0;12.0;28.0;1.0
0.8125;26.0;12.0;28.0;1.0
0.8125;27.0;12.0;29.0;1.0
0.8125;28.0;12.0;30.0;1.0
0.8125;3.0;12.0;7.0;1.0
0.84375;3.0;12.0;7.0;1.0
0.8125;3.0;12.0;7.0;1.0
0.8125;14.0;12.0;18.0;1.0
0.8125;17.0;12.0;21.0;1.0
0.8125;18.0;12.0;22.0;1.0
0.84375;19.0;12.0;23.0;1.0
0.875;20.0;12.0;24.0;1.0
0.84375;21.0;12.0;25.0;1.0
0.8125;24.0;12.0;28.0;1.0
0.8125;24.0;12.0;28.0;1.0
0.8125;26.0;12.0;29.0;1.0
0.8125;26.0;12.0;29.0;1.0
0.84375;27.0;12.0;30.0;1.0
0.8125;28.0;12.0;31.0;1.0
0.8125;31.0;12.0;1.0;2.0
0.8125;12.0;12.0;17.0;1.0
0.8125;13.0;12.0;18.0;1.0
0.84375;17.0;12.0;22.0;1.0
0.8125;17.0;12.0;22.0;1.0
0.875;19.0;12.0;24.0;1.0
0.875;20.0;12.0;25.0;1.0
0.875;21.0;12.0;28.0;1.0
0.84375;24.0;12.0;29.0;1.0
0.8125;24.0;12.0;29.0;1.0
0.84375;26.0;12.0;30.0;1.0
0.84375;26.0;12.0;30.0;1.0
0.84375;27.0;12.0;31.0;1.0
0.875;28.0;12.0;1.0;2.0
0.8125;31.0;12.0;4.0;2.0
0.8125;31.0;12.0;4.0;2.0
0.8125;14.0;12.0;22.0;1.0
0.8125;17.0;12.0;23.0;1.0
0.875;19.0;12.0;25.0;1.0
0.84375;20.0;12.0;28.0;1.0
0.84375;21.0;12.0;29.0;1.0
0.8125;24.0;12.0;30.0;1.0
0.8125;24.0;12.0;30.0;1.0
0.8125;24.0;12.0;30.0;1.0
0.875;26.0;12.0;31.0;1.0
0.875;26.0;12.0;31.0;1.0
0.875;27.0;12.0;1.0;2.0
0.875;28.0;12.0;4.0;2.0
0.8125;31.0;12.0;5.0;2.0
0.8125;31.0;12.0;5.0;2.0
0.8125;7.0;12.0;16.0;1.0
0.8125;14.0;12.0;23.0;1.0
0.8125;17.0;12.0;24.0;1.0
0.84375;18.0;12.0;25.0;1.0
0.84375;19.0;12.0;28.0;1.0
0.84375;20.0;12.0;29.0;1.0
0.84375;21.0;12.0;30.0;1.0
0.8125;24.0;12.0;31.0;1.0
0.8125;24.0;12.0;31.0;1.0
0.8125;24.0;12.0;31.0;1.0
0.84375;26.0;12.0;1.0;2.0
0.84375;26.0;12.0;1.0;2.0
0.875;27.0;12.0;4.0;2.0
0.875;28.0;12.0;5.0;2.0
0.84375;31.0;12.0;6.0;2.0
0.8125;13.0;12.0;23.0;1.0
0.8125;14.0;12.0;24.0;1.0
0.8125;18.0;12.0;28.0;1.0
0.84375;19.0;12.0;29.0;1.0
0.84375;20.0;12.0;30.0;1.0
0.84375;21.0;12.0;31.0;1.0
0.84375;24.0;12.0;1.0;2.0
0.84375;24.0;12.0;1.0;2.0
0.8125;24.0;12.0;1.0;2.0
0.84375;26.0;12.0;4.0;2.0
0.84375;26.0;12.0;4.0;2.0
0.84375;27.0;12.0;5.0;2.0
0.875;28.0;12.0;6.0;2.0
0.8125;31.0;12.0;7.0;2.0
0.8125;31.0;12.0;7.0;2.0
0.8125;21.0;8.0;1.0;10.0
0.8125;23.0;8.0;3.0;10.0
0.8125;7.0;12.0;18.0;1.0
0.8125;13.0;12.0;24.0;1.0
0.8125;17.0;12.0;28.0;1.0
0.84375;17.0;12.0;28.0;1.0
0.875;18.0;12.0;29.0;1.0
0.84375;19.0;12.0;30.0;1.0
0.84375;20.0;12.0;31.0;1.0
0.8125;21.0;12.0;1.0;2.0
0.84375;24.0;12.0;4.0;2.0
0.84375;24.0;12.0;4.0;2.0
0.8125;24.0;12.0;4.0;2.0
0.8125;26.0;12.0;5.0;2.0
0.8125;26.0;12.0;5.0;2.0
0.84375;27.0;12.0;6.0;2.0
0.8125;28.0;12.0;7.0;2.0
0.84375;31.0;12.0;8.0;2.0
0.8125;21.0;8.0;2.0;10.0
0.8125;22.0;8.0;3.0;10.0
0.8125;17.0;12.0;29.0;1.0
0.8125;17.0;12.0;29.0;1.0
0.84375;17.0;12.0;29.0;1.0
0.8125;18.0;12.0;30.0;1.0
0.875;19.0;12.0;31.0;1.0
0.84375;20.0;12.0;1.0;2.0
0.84375;21.0;12.0;4.0;2.0
0.84375;24.0;12.0;5.0;2.0
0.84375;24.0;12.0;5.0;2.0
0.8125;24.0;12.0;5.0;2.0
0.875;26.0;12.0;6.0;2.0
0.875;26.0;12.0;6.0;2.0
0.875;27.0;12.0;7.0;2.0
0.875;28.0;12.0;8.0;2.0
0.84375;31.0;12.0;11.0;2.0
0.8125;3.0;12.0;16.0;1.0
0.8125;13.0;12.0;28.0;1.0
0.8125;14.0;12.0;29.0;1.0
0.8125;17.0;12.0;30.0;1.0
0.84375;17.0;12.0;30.0;1.0
0.875;18.0;12.0;31.0;1.0
0.84375;19.0;12.0;1.0;2.0
0.84375;20.0;12.0;4.0;2.0
0.84375;21.0;12.0;5.0;2.0
0.875;24.0;12.0;6.0;2.0
0.875;24.0;12.0;6.0;2.0
0.84375;24.0;12.0;6.0;2.0
0.875;26.0;12.0;7.0;2.0
0.875;26.0;12.0;7.0;2.0
0.84375;27.0;12.0;8.0;2.0
0.8125;28.0;12.0;11.0;2.0
0.8125;12.0;12.0;28.0;1.0
0.8125;13.0;12.0;29.0;1.0
0.8125;14.0;12.0;30.0;1.0
0.8125;17.0;12.0;31.0;1.0
0.875;17.0;12.0;31.0;1.0
0.875;18.0;12.0;1.0;2.0
0.84375;19.0;12.0;4.0;2.0
0.84375;20.0;12.0;5.0;2.0
0.84375;21.0;12.0;6.0;2.0
0.875;24.0;12.0;7.0;2.0
0.875;24.0;12.0;7.0;2.0
0.84375;24.0;12.0;7.0;2.0
0.84375;26.0;12.0;8.0;2.0
0.84375;26.0;12.0;8.0;2.0
0.8125;27.0;12.0;11.0;2.0
0.8125;28.0;12.0;12.0;2.0
0.8125;20.0;8.0;4.0;10.0
0.8125;7.0;12.0;24.0;1.0
0.8125;11.0;12.0;28.0;1.0
0.8125;12.0;12.0;29.0;1.0
0.8125;13.0;12.0;30.0;1.0
0.84375;14.0;12.0;31.0;1.0
0.8125;17.0;12.0;1.0;2.0
0.84375;17.0;12.0;1.0;2.0
0.84375;18.0;12.0;4.0;2.0
0.84375;19.0;12.0;5.0;2.0
0.84375;20.0;12.0;6.0;2.0
0.84375;21.0;12.0;7.0;2.0
0.875;24.0;12.0;8.0;2.0
0.90625;24.0;12.0;8.0;2.0
0.875;24.0;12.0;8.0;2.0
0.8125;26.0;12.0;11.0;2.0
0.8125;26.0;12.0;11.0;2.0
0.8125;27.0;12.0;12.0;2.0
0.8125;28.0;12.0;13.0;2.0
0.8125;20.0;8.0;5.0;10.0
0.8125;12.0;12.0;30.0;1.0
0.84375;13.0;12.0;31.0;1.0
