Ticker Symbol: VCTR
Name: Victory Capital Holdings Inc. Class A Common Stock
Market Cap: 2217029835.00
Country: United States
IPO Year: 2018
Volume: 121359
Sector: Finance
Industry: Investment Managers

First year of data: 1980.0
Chance;Profit;Buy_Day;Buy_Month;Sell_Day;Sell_Month;;;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course;Buy;Course;Sell;Course
0.7804878048780488;611,25;4.0;10.0;8.0;5.0;;;5.10.1981;0,08;7.5.1982;0,07;4.10.1982;0,08;5.5.1983;0,24;4.10.1983;0,1;7.5.1984;0,14;4.10.1984;0,11;8.5.1985;0,09;4.10.1985;0,07;8.5.1986;0,15;6.10.1986;0,15;8.5.1987;0,35;5.10.1987;0,53;6.5.1988;0,37;4.10.1988;0,37;8.5.1989;0,38;4.10.1989;0,4;8.5.1990;0,37;4.10.1990;0,25;8.5.1991;0,44;4.10.1991;0,43;7.5.1992;0,54;5.10.1992;0,39;7.5.1993;0,49;4.10.1993;0,2;6.5.1994;0,29;4.10.1994;0,3;8.5.1995;0,36;4.10.1995;0,32;7.5.1996;0,24;4.10.1996;0,2;8.5.1997;0,15;6.10.1997;0,2;11.5.1998;0,28;5.10.1998;0,29;10.5.1999;0,4;4.10.1999;0,58;5.5.2000;1,01;4.10.2000;0,42;9.5.2001;0,43;4.10.2001;0,28;9.5.2002;0,43;4.10.2002;0,25;9.5.2003;0,33;6.10.2003;0,4;10.5.2004;0,47;4.10.2004;0,69;6.5.2005;1,33;4.10.2005;1,92;9.5.2006;2,54;4.10.2006;2,69;10.5.2007;3,83;4.10.2007;5,58;8.5.2008;6,61;6.10.2008;3,51;11.5.2009;4,63;5.10.2009;6,64;10.5.2010;9,07;4.10.2010;9,95;6.5.2011;12,38;4.10.2011;13,3;8.5.2012;20,29;4.10.2012;23,81;13.5.2013;16,24;4.10.2013;17,25;9.5.2014;20,91;6.10.2014;24,91;11.5.2015;31,58;5.10.2015;27,69;9.5.2016;23,2;4.10.2016;28,25;9.5.2017;38,5;4.10.2017;38,37;9.5.2018;46,84;4.10.2018;57,0;10.5.2019;49,29;4.10.2019;56,75;8.5.2020;77,53;5.10.2020;116,5;10.5.2021;126,85;4.10.2021;139,14;6.5.2022;157,28
0.7804878048780488;635,05;15.0;12.0;15.0;9.0;;;15.12.1981;0,08;14.9.1982;0,08;15.12.1982;0,13;13.9.1983;0,14;15.12.1983;0,11;13.9.1984;0,12;17.12.1984;0,12;16.9.1985;0,07;16.12.1985;0,09;15.9.1986;0,15;15.12.1986;0,19;14.9.1987;0,47;15.12.1987;0,33;13.9.1988;0,37;15.12.1988;0,35;14.9.1989;0,4;15.12.1989;0,3;14.9.1990;0,3;17.12.1990;0,36;16.9.1991;0,42;16.12.1991;0,45;14.9.1992;0,44;15.12.1992;0,5;14.9.1993;0,22;15.12.1993;0,27;14.9.1994;0,31;15.12.1994;0,33;14.9.1995;0,36;15.12.1995;0,31;13.9.1996;0,19;16.12.1996;0,2;15.9.1997;0,19;15.12.1997;0,12;15.9.1998;0,34;15.12.1998;0,3;15.9.1999;0,67;15.12.1999;0,87;13.9.2000;1,04;15.12.2000;0,25;21.9.2001;0,28;17.12.2001;0,37;17.9.2002;0,26;16.12.2002;0,27;16.9.2003;0,4;15.12.2003;0,36;15.9.2004;0,63;15.12.2004;1,17;14.9.2005;1,77;15.12.2005;2,58;15.9.2006;2,65;15.12.2006;3,13;18.9.2007;5,03;17.12.2007;6,59;16.9.2008;5,0;15.12.2008;3,38;15.9.2009;6,26;15.12.2009;6,93;15.9.2010;9,65;15.12.2010;11,44;14.9.2011;13,9;15.12.2011;13,53;14.9.2012;24,69;17.12.2012;18,53;17.9.2013;16,26;16.12.2013;19,91;16.9.2014;25,22;15.12.2014;27,06;15.9.2015;29,07;15.12.2015;27,62;14.9.2016;27,94;15.12.2016;28,95;15.9.2017;39,97;15.12.2017;43,49;17.9.2018;54,47;17.12.2018;40,99;17.9.2019;55,17;16.12.2019;69,96;15.9.2020;115,54;15.12.2020;127,88;15.9.2021;149,03;15.12.2021;179,3;15.9.2022;152,37
0.7804878048780488;7,9;15.0;12.0;10.0;11.0;;;15.12.1981;0,08;9.11.1982;0,13;15.12.1982;0,13;8.11.1983;0,08;15.12.1983;0,11;8.11.1984;0,11;17.12.1984;0,12;12.11.1985;0,09;16.12.1985;0,09;10.11.1986;0,16;15.12.1986;0,19;9.11.1987;0,33;15.12.1987;0,33;8.11.1988;0,34;15.12.1988;0,35;9.11.1989;0,41;15.12.1989;0,3;9.11.1990;0,32;17.12.1990;0,36;11.11.1991;0,48;16.12.1991;0,45;9.11.1992;0,49;15.12.1992;0,5;9.11.1993;0,27;15.12.1993;0,27;9.11.1994;0,37;15.12.1994;0,33;9.11.1995;0,35;15.12.1995;0,31;8.11.1996;0,23;16.12.1996;0,2;10.11.1997;0,17;15.12.1997;0,12;10.11.1998;0,31;15.12.1998;0,3;10.11.1999;0,82;15.12.1999;0,87;8.11.2000;0,36;15.12.2000;0,25;16.11.2001;0,34;17.12.2001;0,37;12.11.2002;0,28;16.12.2002;0,27;11.11.2003;0,38;15.12.2003;0,36;10.11.2004;0,98;15.12.2004;1,17;9.11.2005;2,15;15.12.2005;2,58;10.11.2006;2,97;15.12.2006;3,13;13.11.2007;6,07;17.12.2007;6,59;11.11.2008;3,38;15.12.2008;3,38;10.11.2009;7,25;15.12.2009;6,93;10.11.2010;11,36;15.12.2010;11,44;9.11.2011;14,12;15.12.2011;13,53;13.11.2012;19,39;17.12.2012;18,53;12.11.2013;18,57;16.12.2013;19,91;11.11.2014;27,42;15.12.2014;27,06;10.11.2015;29,19;15.12.2015;27,62;9.11.2016;27,72;15.12.2016;28,95;10.11.2017;43,67;15.12.2017;43,49;12.11.2018;48,54;17.12.2018;40,99;12.11.2019;65,49;16.12.2019;69,96;10.11.2020;115,97;15.12.2020;127,88;10.11.2021;147,92;15.12.2021;179,3;10.11.2022;146,87
0.8048780487804879;489,79;19.0;10.0;8.0;5.0;;;19.10.1981;0,08;10.5.1982;0,07;18.10.1982;0,1;6.5.1983;0,25;17.10.1983;0,09;7.5.1984;0,14;17.10.1984;0,11;8.5.1985;0,09;17.10.1985;0,08;8.5.1986;0,15;17.10.1986;0,15;8.5.1987;0,35;19.10.1987;0,33;9.5.1988;0,36;17.10.1988;0,34;8.5.1989;0,38;17.10.1989;0,42;8.5.1990;0,37;17.10.1990;0,24;8.5.1991;0,44;17.10.1991;0,47;7.5.1992;0,54;19.10.1992;0,44;10.5.1993;0,49;18.10.1993;0,25;9.5.1994;0,28;17.10.1994;0,35;8.5.1995;0,36;17.10.1995;0,33;7.5.1996;0,24;17.10.1996;0,24;8.5.1997;0,15;17.10.1997;0,18;11.5.1998;0,28;19.10.1998;0,33;11.5.1999;0,4;18.10.1999;0,65;8.5.2000;0,98;17.10.2000;0,36;9.5.2001;0,43;17.10.2001;0,3;9.5.2002;0,43;17.10.2002;0,25;9.5.2003;0,33;17.10.2003;0,41;10.5.2004;0,47;18.10.2004;0,85;9.5.2005;1,32;17.10.2005;1,91;9.5.2006;2,54;17.10.2006;2,65;10.5.2007;3,83;17.10.2007;6,17;8.5.2008;6,61;17.10.2008;3,48;11.5.2009;4,63;19.10.2009;6,78;11.5.2010;9,16;18.10.2010;11,36;9.5.2011;12,41;17.10.2011;15,0;8.5.2012;20,29;17.10.2012;23,02;13.5.2013;16,24;17.10.2013;18,02;9.5.2014;20,91;17.10.2014;24,42;11.5.2015;31,58;19.10.2015;27,93;10.5.2016;23,35;17.10.2016;29,39;9.5.2017;38,5;17.10.2017;40,12;9.5.2018;46,84;17.10.2018;55,3;10.5.2019;49,29;17.10.2019;58,82;8.5.2020;77,53;19.10.2020;115,98;11.5.2021;125,91;18.10.2021;146,55;9.5.2022;152,06
0.7804878048780488;6,12;8.0;1.0;29.0;8.0;;;8.1.1981;0,14;28.8.1981;0,09;8.1.1982;0,09;30.8.1982;0,08;10.1.1983;0,13;30.8.1983;0,15;9.1.1984;0,12;28.8.1984;0,13;8.1.1985;0,12;28.8.1985;0,07;8.1.1986;0,1;28.8.1986;0,17;8.1.1987;0,2;28.8.1987;0,46;8.1.1988;0,36;29.8.1988;0,36;9.1.1989;0,38;29.8.1989;0,39;8.1.1990;0,34;28.8.1990;0,34;8.1.1991;0,39;28.8.1991;0,48;8.1.1992;0,54;27.8.1992;0,4;8.1.1993;0,56;30.8.1993;0,23;10.1.1994;0,3;31.8.1994;0,32;9.1.1995;0,37;29.8.1995;0,39;8.1.1996;0,31;27.8.1996;0,22;8.1.1997;0,16;28.8.1997;0,2;8.1.1998;0,16;31.8.1998;0,28;8.1.1999;0,4;31.8.1999;0,58;10.1.2000;0,87;30.8.2000;1,06;8.1.2001;0,3;29.8.2001;0,32;8.1.2002;0,4;29.8.2002;0,26;8.1.2003;0,26;29.8.2003;0,4;8.1.2004;0,42;31.8.2004;0,62;10.1.2005;1,23;31.8.2005;1,67;9.1.2006;2,72;30.8.2006;2,39;8.1.2007;3,05;29.8.2007;4,79;8.1.2008;6,12;28.8.2008;6,2;8.1.2009;3,31;31.8.2009;6,01;8.1.2010;7,57;31.8.2010;8,68;10.1.2011;12,23;31.8.2011;13,74;9.1.2012;15,06;29.8.2012;24,05;8.1.2013;18,76;29.8.2013;17,56;8.1.2014;19,41;29.8.2014;25,62;8.1.2015;27,97;31.8.2015;28,19;8.1.2016;24,24;30.8.2016;26,5;9.1.2017;29,75;30.8.2017;40,84;8.1.2018;43,59;29.8.2018;55,74;8.1.2019;37,69;29.8.2019;52,25;8.1.2020;75,8;28.8.2020;124,81;8.1.2021;132,05;31.8.2021;151,83
0.7804878048780488;708,59;16.0;7.0;13.0;5.0;;;16.7.1981;0,11;13.5.1982;0,07;16.7.1982;0,06;12.5.1983;0,24;18.7.1983;0,2;14.5.1984;0,14;16.7.1984;0,11;13.5.1985;0,09;16.7.1985;0,08;14.5.1986;0,16;16.7.1986;0,15;13.5.1987;0,35;16.7.1987;0,39;12.5.1988;0,35;18.7.1988;0,41;15.5.1989;0,41;17.7.1989;0,36;14.5.1990;0,37;16.7.1990;0,41;13.5.1991;0,47;16.7.1991;0,39;12.5.1992;0,56;16.7.1992;0,44;13.5.1993;0,5;16.7.1993;0,25;13.5.1994;0,27;18.7.1994;0,25;15.5.1995;0,39;17.7.1995;0,44;13.5.1996;0,24;16.7.1996;0,15;13.5.1997;0,16;16.7.1997;0,15;14.5.1998;0,27;16.7.1998;0,33;14.5.1999;0,4;16.7.1999;0,47;12.5.2000;0,96;17.7.2000;1,04;15.5.2001;0,41;16.7.2001;0,43;20.5.2002;0,44;16.7.2002;0,32;14.5.2003;0,33;16.7.2003;0,35;13.5.2004;0,49;16.7.2004;0,57;13.5.2005;1,24;18.7.2005;1,48;16.5.2006;2,32;17.7.2006;1,87;16.5.2007;3,83;16.7.2007;4,93;13.5.2008;6,78;16.7.2008;6,17;14.5.2009;4,39;16.7.2009;5,27;14.5.2010;9,06;16.7.2010;8,93;13.5.2011;12,16;18.7.2011;13,35;15.5.2012;19,76;16.7.2012;21,68;16.5.2013;15,52;16.7.2013;15,36;14.5.2014;21,21;16.7.2014;23,69;14.5.2015;32,24;16.7.2015;32,13;13.5.2016;22,63;18.7.2016;24,96;16.5.2017;38,87;17.7.2017;37,39;15.5.2018;46,61;16.7.2018;47,73;15.5.2019;47,73;16.7.2019;51,12;13.5.2020;76,91;16.7.2020;96,52;14.5.2021;127,45;16.7.2021;146,39;13.5.2022;147,11
0.7804878048780488;334,24;8.0;10.0;8.0;1.0;;;8.10.1981;0,08;8.1.1982;0,09;8.10.1982;0,1;7.1.1983;0,12;10.10.1983;0,09;10.1.1984;0,12;8.10.1984;0,11;8.1.1985;0,12;8.10.1985;0,07;8.1.1986;0,1;8.10.1986;0,15;8.1.1987;0,2;8.10.1987;0,48;8.1.1988;0,36;10.10.1988;0,34;10.1.1989;0,38;9.10.1989;0,44;9.1.1990;0,34;8.10.1990;0,26;8.1.1991;0,39;8.10.1991;0,43;8.1.1992;0,54;8.10.1992;0,39;8.1.1993;0,56;8.10.1993;0,2;7.1.1994;0,3;10.10.1994;0,35;10.1.1995;0,39;9.10.1995;0,31;9.1.1996;0,29;8.10.1996;0,21;8.1.1997;0,16;8.10.1997;0,19;8.1.1998;0,16;8.10.1998;0,28;8.1.1999;0,4;8.10.1999;0,59;7.1.2000;0,89;9.10.2000;0,39;9.1.2001;0,31;8.10.2001;0,29;8.1.2002;0,4;8.10.2002;0,24;8.1.2003;0,26;8.10.2003;0,41;8.1.2004;0,42;8.10.2004;0,7;7.1.2005;1,24;10.10.2005;1,8;10.1.2006;2,89;9.10.2006;2,67;10.1.2007;3,46;8.10.2007;6,0;8.1.2008;6,12;8.10.2008;3,21;8.1.2009;3,31;8.10.2009;6,76;8.1.2010;7,57;8.10.2010;10,5;7.1.2011;12,0;10.10.2011;13,89;10.1.2012;15,12;8.10.2012;22,79;10.1.2013;18,7;8.10.2013;17,18;8.1.2014;19,41;8.10.2014;25,2;8.1.2015;27,97;8.10.2015;27,38;8.1.2016;24,24;10.10.2016;29,01;10.1.2017;29,78;9.10.2017;38,96;9.1.2018;43,58;8.10.2018;55,94;9.1.2019;38,33;8.10.2019;56,1;8.1.2020;75,8;8.10.2020;114,97;8.1.2021;132,05;8.10.2021;142,9;7.1.2022;172,17
0.8048780487804879;245,96;7.0;10.0;14.0;12.0;;;7.10.1981;0,08;14.12.1981;0,08;7.10.1982;0,1;14.12.1982;0,13;7.10.1983;0,09;14.12.1983;0,1;8.10.1984;0,11;13.12.1984;0,11;7.10.1985;0,07;12.12.1985;0,09;7.10.1986;0,15;12.12.1986;0,18;7.10.1987;0,5;14.12.1987;0,33;7.10.1988;0,35;14.12.1988;0,35;9.10.1989;0,44;14.12.1989;0,31;8.10.1990;0,26;13.12.1990;0,36;7.10.1991;0,43;12.12.1991;0,44;7.10.1992;0,39;14.12.1992;0,51;7.10.1993;0,21;14.12.1993;0,26;7.10.1994;0,33;14.12.1994;0,34;9.10.1995;0,31;14.12.1995;0,34;7.10.1996;0,21;12.12.1996;0,21;7.10.1997;0,19;12.12.1997;0,13;7.10.1998;0,29;14.12.1998;0,29;7.10.1999;0,59;14.12.1999;0,85;9.10.2000;0,39;14.12.2000;0,26;8.10.2001;0,29;13.12.2001;0,38;7.10.2002;0,25;12.12.2002;0,27;7.10.2003;0,41;12.12.2003;0,37;7.10.2004;0,71;14.12.2004;1,17;7.10.2005;1,83;14.12.2005;2,57;9.10.2006;2,67;14.12.2006;3,16;8.10.2007;6,0;13.12.2007;6,85;7.10.2008;3,18;12.12.2008;3,51;7.10.2009;6,79;14.12.2009;7,03;7.10.2010;10,33;14.12.2010;11,44;7.10.2011;13,21;14.12.2011;13,58;8.10.2012;22,79;17.12.2012;18,53;7.10.2013;17,42;12.12.2013;20,02;7.10.2014;24,69;12.12.2014;27,43;7.10.2015;27,69;14.12.2015;28,12;7.10.2016;28,51;14.12.2016;28,8;9.10.2017;38,96;14.12.2017;43,06;8.10.2018;55,94;14.12.2018;41,37;7.10.2019;56,76;12.12.2019;67,86;7.10.2020;115,08;14.12.2020;121,78;7.10.2021;143,29;14.12.2021;174,33
0.8048780487804879;474,35;19.0;10.0;31.0;5.0;;;19.10.1981;0,08;28.5.1982;0,06;19.10.1982;0,11;27.5.1983;0,27;19.10.1983;0,1;30.5.1984;0,13;19.10.1984;0,11;31.5.1985;0,08;21.10.1985;0,08;2.6.1986;0,17;20.10.1986;0,15;1.6.1987;0,35;19.10.1987;0,33;27.5.1988;0,35;19.10.1988;0,36;31.5.1989;0,43;19.10.1989;0,44;31.5.1990;0,37;19.10.1990;0,28;31.5.1991;0,42;21.10.1991;0,49;1.6.1992;0,51;19.10.1992;0,44;28.5.1993;0,51;19.10.1993;0,25;31.5.1994;0,26;19.10.1994;0,37;31.5.1995;0,37;19.10.1995;0,31;30.5.1996;0,23;21.10.1996;0,23;2.6.1997;0,15;20.10.1997;0,17;2.6.1998;0,24;19.10.1998;0,33;1.6.1999;0,4;19.10.1999;0,61;30.5.2000;0,78;19.10.2000;0,34;1.6.2001;0,37;19.10.2001;0,33;3.6.2002;0,41;21.10.2002;0,26;3.6.2003;0,31;20.10.2003;0,41;1.6.2004;0,5;19.10.2004;0,85;31.5.2005;1,42;19.10.2005;1,96;1.6.2006;2,22;19.10.2006;2,82;4.6.2007;4,33;19.10.2007;6,09;2.6.2008;6,65;20.10.2008;3,52;2.6.2009;4,98;19.10.2009;6,78;1.6.2010;9,32;19.10.2010;11,05;31.5.2011;12,42;19.10.2011;14,24;31.5.2012;20,63;19.10.2012;21,78;5.6.2013;15,9;21.10.2013;18,62;3.6.2014;22,77;20.10.2014;24,94;2.6.2015;32,49;19.10.2015;27,93;31.5.2016;24,97;19.10.2016;29,28;1.6.2017;38,29;19.10.2017;38,99;1.6.2018;47,56;19.10.2018;54,83;4.6.2019;44,91;21.10.2019;60,13;2.6.2020;80,83;19.10.2020;115,98;1.6.2021;124,28;19.10.2021;148,76;31.5.2022;148,84
0.8048780487804879;364,52;16.0;12.0;4.0;5.0;;;16.12.1981;0,09;4.5.1982;0,07;16.12.1982;0,13;3.5.1983;0,22;16.12.1983;0,11;3.5.1984;0,14;17.12.1984;0,12;3.5.1985;0,09;16.12.1985;0,09;2.5.1986;0,14;16.12.1986;0,19;4.5.1987;0,36;16.12.1987;0,35;3.5.1988;0,37;16.12.1988;0,36;4.5.1989;0,37;18.12.1989;0,31;4.5.1990;0,36;17.12.1990;0,36;3.5.1991;0,44;16.12.1991;0,45;1.5.1992;0,53;16.12.1992;0,49;4.5.1993;0,48;16.12.1993;0,26;4.5.1994;0,29;16.12.1994;0,33;4.5.1995;0,34;18.12.1995;0,29;3.5.1996;0,21;16.12.1996;0,2;2.5.1997;0,15;16.12.1997;0,13;5.5.1998;0,27;16.12.1998;0,29;5.5.1999;0,42;16.12.1999;0,88;3.5.2000;1,03;18.12.2000;0,25;7.5.2001;0,45;17.12.2001;0,37;6.5.2002;0,4;16.12.2002;0,27;5.5.2003;0,29;16.12.2003;0,36;4.5.2004;0,47;16.12.2004;1,19;4.5.2005;1,33;16.12.2005;2,54;5.5.2006;2,57;18.12.2006;3,05;8.5.2007;3,75;17.12.2007;6,59;5.5.2008;6,6;16.12.2008;3,41;5.5.2009;4,74;16.12.2009;6,97;5.5.2010;9,14;16.12.2010;11,47;4.5.2011;12,48;16.12.2011;13,61;4.5.2012;20,19;17.12.2012;18,53;6.5.2013;16,45;16.12.2013;19,91;5.5.2014;21,46;16.12.2014;26,69;5.5.2015;31,45;16.12.2015;27,83;4.5.2016;23,55;16.12.2016;28,99;5.5.2017;37,24;18.12.2017;44,1;7.5.2018;46,29;17.12.2018;40,99;6.5.2019;52,12;16.12.2019;69,96;4.5.2020;73,29;16.12.2020;127,81;5.5.2021;128,1;16.12.2021;172,26;4.5.2022;166,02
